feature,spearman_corr,p_value
track_genre_pop-film,0.11600497878337747,0.0
track_genre_k-pop,0.10027325844014265,1.6366305465361666e-252
track_genre_chill,0.09253612676198311,3.342632779696964e-215
track_genre_sad,0.08762820068562277,4.126050912936578e-193
track_genre_indian,0.07509542627471215,3.1938913620768845e-142
track_genre_grunge,0.07222865691040288,1.0791606908206557e-131
track_genre_anime,0.07078156960665359,1.5525532872781088e-126
track_genre_sertanejo,0.06996153361936279,1.16766345556238e-123
track_genre_emo,0.06489404994018436,1.2411108369847391e-106
track_genre_progressive-house,0.06160820336442206,2.8003009520546173e-96
time_signature_4,0.05801323835483343,1.434423089071903e-85
track_genre_deep-house,0.0553768628359159,3.9873209745330923e-78
track_genre_mandopop,0.05528152848868215,7.300865366832901e-78
track_genre_brazil,0.054738822798473176,2.2395990876021955e-76
track_genre_piano,0.05428806766802804,3.7489097428963684e-75
track_genre_pop,0.05324501661180026,2.3272355518729045e-72
track_genre_pagode,0.05222715931329603,1.0967351625114464e-69
track_genre_ambient,0.05183631038978492,1.1295685973073165e-68
track_genre_electronic,0.05068534743112102,9.801133774461035e-66
track_genre_british,0.04724613684322692,2.3937262609985323e-57
track_genre_metalcore,0.04715561766564159,3.907539358134807e-57
track_genre_metal,0.043446962265086916,9.164627277793585e-49
track_genre_psych-rock,0.043065812387217246,6.077079906683898e-48
track_genre_acoustic,0.04260187852105478,5.942974030673909e-47
track_genre_dubstep,0.04215735133446824,5.1627733377796515e-46
explicit,0.04018712401361425,5.706407732085496e-42
track_genre_world-music,0.03984594107882577,2.735586959249608e-41
track_genre_hard-rock,0.039153501361689644,6.32147055950732e-40
track_genre_forro,0.03711761786158412,4.71164593536125e-36
track_genre_gospel,0.03643761971834341,8.335426439940249e-35
track_genre_j-pop,0.03532981579512524,8.03107540885039e-33
loudness,0.035178333688898875,1.4836714320467285e-32
track_genre_french,0.03439583462951598,3.3905714322763975e-31
track_genre_garage,0.033871875751698664,2.6504871543007977e-30
track_genre_mpb,0.03372886206409951,4.620943698855966e-30
track_genre_dub,0.032140398573963246,1.8977518711368304e-27
track_genre_j-rock,0.03164162200281205,1.1836707752262276e-26
